activity_date,activity_name,activity_type,distance_km,moving_time,elapsed_time,avg_speed,max_speed,pace_min_km,max_hr,relative_effort,elevation_gain,elevation_loss,year,month,week,day_of_week,training_load
2017-11-18 09:53:03,Corrida matinal,Corrida,6.0,2132.0,2208,2.817870616912842,5.0,5.922222222222222,,,42.41999816894531,232.22000122070312,2017,11,46,Saturday,
2020-07-27 10:00:00,Só estradão para soltar . SEGUNDOU !!!!,Pedalada,42.0,6060.0,6060,6.93069314956665,,2.4047619047619047,,,,,2020,7,31,Monday,
2021-10-17 09:04:38,Corrida matinal,Corrida,7.0,1930.0,2082,3.627772092819214,12.0,4.595238095238095,,,120.91822052001952,111.91799926757812,2021,10,41,Sunday,
2021-12-30 08:47:03,Corrida matinal,Corrida,5.0,1236.0,1462,4.0464887619018555,12.367016792297363,4.12,,,55.92459487915039,67.42459869384766,2021,12,52,Thursday,
2022-02-11 09:10:38,Caminhada matinal,Caminhada,3.0,1919.0,2246,1.5679104328155518,11.03613567352295,10.661111111111111,,,63.782325744628906,65.0822982788086,2022,2,6,Friday,
2022-09-01 08:44:58,Morning Run,Corrida,5.0,1200.0,1200,4.166666507720947,,4.0,,,,,2022,9,35,Thursday,
2022-09-05 09:00:05,Morning Run,Corrida,5.0,1200.0,1200,4.166666507720947,,4.0,,,,,2022,9,36,Monday,
2022-09-09 08:45:22,Morning Run,Corrida,5.0,1200.0,1200,4.166666507720947,,4.0,,,,,2022,9,36,Friday,
2022-09-09 08:45:46,Morning Run,Corrida,5.0,1200.0,1200,4.166666507720947,,4.0,,,,,2022,9,36,Friday,
2022-09-07 09:00:52,Morning Run,Corrida,5.0,1200.0,1200,4.166666507720947,,4.0,,,,,2022,9,36,Wednesday,
2022-09-09 08:46:43,Morning Run,Corrida,5.0,1200.0,1200,4.166666507720947,,4.0,,,,,2022,9,36,Friday,
2022-09-12 09:05:10,Morning Run,Corrida,5.0,1200.0,1200,4.166666507720947,,4.0,,,,,2022,9,37,Monday,
2022-09-17 08:39:04,Morning Run,Corrida,5.0,1203.0,1203,4.156275749206543,,4.01,,,,,2022,9,37,Saturday,
2022-09-18 08:39:46,Morning Run,Corrida,5.0,1200.0,1200,4.166666507720947,,4.0,,,,,2022,9,37,Sunday,
2022-09-23 09:01:06,Morning Run,Corrida,5.0,1140.0,1140,4.385964870452881,,3.8,,,,,2022,9,38,Friday,
2022-09-27 08:50:03,Morning Run,Corrida,5.0,1380.0,1380,3.6231884956359863,,4.6,,,,,2022,9,39,Tuesday,
2022-10-07 08:47:22,Morning Run,Corrida,5.0,1200.0,1200,4.166666507720947,,4.0,,,,,2022,10,40,Friday,
2022-10-10 09:20:59,Morning Run,Corrida,5.0,1200.0,1200,4.166666507720947,,4.0,,,,,2022,10,41,Monday,
2022-12-01 09:00:03,Corrida matinal,Corrida,5.0,1200.0,1200,4.166666507720947,,4.0,,,,,2022,12,48,Thursday,
2022-12-19 09:00:29,Corrida matinal,Corrida,5.0,1260.0,1260,3.9682538509368896,,4.2,,,,,2022,12,51,Monday,
2023-02-03 09:20:41,GG EASY......... Light workout.....Fridayyyyyy let's Goooo to beer,Corrida,4.0,1157.0,1396,3.4626967906951904,8.397997856140137,4.820833333333334,,,39.20625686645508,39.106258392333984,2023,2,5,Friday,
2023-05-15 08:44:05,Corrida matinal,Corrida,5.0,1417.0,1640,3.5309102535247803,10.908007621765137,4.723333333333334,,,69.74278259277344,69.84278106689453,2023,5,20,Monday,
2023-07-10 21:10:12,Corrida ao entardecer,Corrida,5.0,1621.0,1621,3.0845158100128174,,5.403333333333333,,,,,2023,7,28,Monday,
2023-07-14 08:42:41,Morning Run,Corrida,5.0,1447.0,1969,3.4590394496917725,11.517992973327637,4.823333333333333,,,74.09169006347656,74.09169006347656,2023,7,28,Friday,
2023-07-16 10:05:05,Walking dogs 🐶🐶🐕🐶🐶🐶,Caminhada,4.0,2525.0,2525,1.584158420562744,,10.520833333333334,,,,,2023,7,28,Sunday,
2023-10-16 09:40:40,Morning Walk,Caminhada,3.0,1380.0,1380,2.17391300201416,,7.666666666666667,,,,,2023,10,42,Monday,
2023-10-18 09:45:52,Walk dogs 🐶🐶🐶🐕🐕,Caminhada,3.0,1800.0,1800,1.6666666269302368,,10.0,,,,,2023,10,42,Wednesday,
2023-10-26 09:08:34,Morning Run,Corrida,4.0,1243.0,1456,3.2247226238250732,8.097997665405273,5.179166666666666,,,43.3682861328125,39.56828689575195,2023,10,43,Thursday,
2023-11-11 23:14:14,Walk dogs,Caminhada,4.0,2880.0,2880,1.3888888359069824,,12.0,,,,,2023,11,45,Saturday,
2023-11-20 09:17:22,Morning Run,Corrida,4.0,1186.0,1372,3.373389720916748,8.555994033813477,4.941666666666666,,,46.34791564941406,50.54791641235352,2023,11,47,Monday,
2023-12-12 09:36:26,Walk dogs 🐕🐕🐶,Caminhada,3.0,1680.0,1680,1.7857142686843872,,9.333333333333334,,,,,2023,12,50,Tuesday,
2024-01-04 09:40:53,Walk dogs 🐶🐶🐶🐕,Caminhada,3.0,2400.0,2400,1.25,,13.333333333333334,,,,,2024,1,1,Thursday,
2024-01-23 09:47:44,Walk dogs 🐶🐶🐕,Caminhada,2.0,1320.0,1320,1.5151515007019043,,11.0,,,,,2024,1,4,Tuesday,
2024-01-31 09:19:12,Morning Run,Corrida,4.0,1256.0,1560,3.1911942958831787,7.07000732421875,5.233333333333333,,,62.84079360961914,63.540794372558594,2024,1,5,Wednesday,
