Data da atividade,Nome da atividade,Tipo de atividade,Descrição da atividade,Tempo decorrido,Distância,Frequência cardíaca máxima,Esforço relativo,Deslocamento,Observação privada da atividade,Equipamento da atividade,Peso do atleta,Peso da bicicleta,Tempo decorrido,Tempo de movimentação,Distância,Velocidade máx.,Velocidade média,Ganho de elevação,Perda de elevação,Elevação mínima,Elevação máxima,Inclinação máxima,Inclinação média,Inclinação positiva média,Inclinação negativa média,Cadência máxima,Cadência média,Frequência cardíaca máxima,Frequência cardíaca média,Máximo de watts,Média de watts,Calorias,Temperatura máxima,Temperatura média,Esforço relativo,Total de trabalho,Número de corridas,Tempo de subida,Tempo de descida,Outro tempo,Percepção de esforço,Tipo,Hora de início,Média ponderada de potência,Contagem de potência,Usar Percepção de esforço,Percepção de esforço relativo,Deslocamento,Peso total levantado,Da atividade carregada,Distância ajustada à inclinação,Tempo de observação do clima,Condição climática,Temperatura atmosférica,Temperatura aparente,Ponto de orvalho,Umidade,Pressão atmosférica,Velocidade do vento,Rajada de vento,Direção do vento,Intensidade da precipitação,Hora do nascer do sol,Hora do pôr do sol,Fase da lua,Probabilidade de precipitação,Tipo de precipitação,Nebulosidade,Visibilidade,Índice UV,Previsão de ozônio,Contagem de pulos,Garra total,Fluxo médio,Sinalizado,Velocidade média (tempo decorrido),Distância na terra,Distância recém-explorada,Distância de terra recém-explorada,Contagem de atividades,Total de passos,Economia de carbono
26 de ago de 2018 10:21:09,Árvore da fantasia,Pedalada,,13897,"40,8",,,false,,,85.0,,13897.0,11639.0,40805.69921875,20.100000381469727,,829.5302734375,910.4299926757812,662.9000244140625,912.9000244140625,33.29999923706055,-0.19825661182403564,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30653.80078125,,,,,
23 de set de 2018 10:23:39,Estradão,Pedalada,,6712,"36,35",,,false,,,85.0,,6712.0,6066.0,36351.1015625,19.600000381469727,,729.6754760742188,730.2750244140625,694.0,909.9000244140625,45.79999923706055,-0.0016505690291523933,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7921.7001953125,,,,,
24 de set de 2018 19:46:53,Afternoon Ride,Pedalada,,1283,"4,98",,,false,,,85.0,,1283.0,1084.0,4983.10009765625,11.0,,110.41813659667969,121.61799621582031,685.0999755859375,723.4000244140625,43.29999923706055,-0.22475968301296234,,,,,,,,142.2018585205078,171.87387084960938,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2908.699951171875,,,,,
25 de set de 2018 19:48:56,Afternoon Ride,Pedalada,,2291,"4,99",,,false,,,85.0,,2291.0,1340.0,4997.2001953125,13.0,,112.56098175048828,127.76100158691406,685.0999755859375,723.7000122070312,26.899999618530273,-0.3041703402996063,,,,,,,,136.02444458007812,203.23345947265625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3635.699951171875,,,,,
26 de set de 2018 09:11:14,Morning Ride,Pedalada,,1145,"4,77",,,false,,,85.0,,1145.0,1013.0,4775.39990234375,12.699999809265137,,133.66766357421875,116.96800231933594,685.0,727.7999877929688,42.599998474121094,0.3497089147567749,,,,,,,,171.0533447265625,193.20350646972656,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4205.2001953125,,,,,
28 de set de 2018 12:06:49,Morning Ride,Pedalada,,6892,"36,26",,,false,,,85.0,,6892.0,6120.0,36268.69921875,17.700000762939453,,439.6221923828125,451.5220031738281,677.0999755859375,900.0,34.400001525878906,-0.03281066194176674,,,,,,,,137.30307006835938,936.92822265625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677.300048828125,,,,,
29 de set de 2018 14:03:10,Lunch Ride,Pedalada,,2427,"12,95",,,false,,,85.0,,2427.0,2198.0,12956.599609375,15.100000381469727,,133.47695922851562,139.677001953125,677.0,727.5999755859375,37.400001525878906,-0.047852061688899994,,,,,,,,125.2294921875,306.907470703125,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3835.60009765625,,,,,
4 de out de 2018 09:18:15,Pedalada matutina,Pedalada,,3040,"5,13",,,false,,,85.0,,3040.0,1323.0,5136.0,13.600000381469727,,144.15341186523438,133.9530029296875,685.0,727.7999877929688,39.400001525878906,0.19859813153743744,,,,,,,,137.61444091796875,203.0006103515625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4404.2001953125,,,,,
12 de out de 2018 10:02:37,Pedalada matutina,Pedalada,,7815,"36,85",,,false,,,85.0,,7815.0,7200.0,36850.30078125,18.200000762939453,,634.673095703125,637.4730224609375,676.2000122070312,894.0,41.79999923706055,-0.007598309777677059,,,,,,,,119.29454040527344,957.7002563476562,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7835.2998046875,,,,,
20 de out de 2018 14:02:24,Pedalada no almoço,Pedalada,,5003,"23,66",,,false,,,85.0,,5003.0,4641.0,23665.80078125,18.700000762939453,,394.1828918457031,394.2829895019531,693.5999755859375,887.2999877929688,29.799999237060547,-0.0004225506854709238,,,,,,,,129.44155883789062,669.825439453125,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11812.5,,,,,
21 de out de 2018 09:37:06,Pedalada matutina,Pedalada,,4260,"20,85",,,false,,,85.0,,4260.0,4085.0,20849.599609375,19.200000762939453,,465.05145263671875,467.5509948730469,692.0,949.5999755859375,42.29999923706055,-0.011990637518465519,,,,,,,,150.43214416503906,685.1838989257812,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5945.0,,,,,
